"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Larry Fitzgerald","WR","FA","20.1","14.1","6","6.3","20.1","4.9","7","7.4","-","13.2","6.3","5.3","7.8","1.2","3.7","3.1","10.3","8.6","136.8"
"Jason Myers","K","SEA","13","2","6","14","BYE","5","11","2","2","10","9","3","5","13","10","19","10","8.4","134"
"Emmanuel Sanders","WR","FA","4.9","3.9","23.7","14.8","8","4","8.6","6.8","4.7","5.4","-","22.2","3.2","16","4.8","2.6","0","8.4","133.6"
"Ryan Fitzpatrick","QB","FA","15.1","21.1","-2.3","8.9","15.1","5.2","8.7","14.4","10.4","-","-","16.9","1.5","-","0.3","1.7","16.4","9.5","133.4"
"Tampa Bay Buccaneers","DST","TB","3","0","10","4","9","BYE","11","3","0","24","5","19","12","11","5","1","16","8.3","133"
"Brandon McManus","K","DEN","3","15","5","9","12","8","9","9","11","13","BYE","10","9","4","3","6.6","6","8.3","132.6"
"Julian Edelman","WR","FA","8.2","7.6","5.2","1.7","3.5","3.8","4","9.7","-","7.9","14.9","8.3","10.1","7.3","7.5","8.9","23.7","8.3","132.3"
"Golden Tate","WR","FA","4.3","1.3","3.2","2.1","4.5","22.8","9.3","4.2","14","-","0.1","7.7","20.5","5.7","12.2","5.8","14.4","8.3","132.1"
"Dez Bryant","WR","FA","0.8","10.2","10","-","-","-","-","17.3","1.9","17.6","20","7.2","14.4","-1","8.2","23.4","0","10","130"
"Mason Crosby","K","FA","9","2","11","-","12","11","9","6","8","7","6","9","3","8","12","9","7","8.1","129"
"Philadelphia Eagles","DST","PHI","11","10","16","BYE","6","8","18","3","4","5","2","0","3","10","7","13","12","8","128"
"Greg Olsen","TE","FA","7.3","18.2","6.4","15.6","18.1","9.4","-","1.1","11.2","3.9","3.3","4.5","3","8.7","8.5","5.9","2.2","8","127.3"
"Kenny Stills","WR","FA","1.6","9.9","7.6","13.4","0","1.2","16","-","1.1","10.7","3.3","13.2","2.1","15.7","11.2","9.5","10.1","7.9","126.6"
"Allen Robinson II","WR","LAR","7.2","5.4","17.7","11.5","-","4.9","0.9","7","13.6","18.7","7.8","2.4","3.1","1.7","1.5","14.7","8.2","7.9","126.3"
"Adam Thielen","WR","CAR","5.4","4.1","2.9","2.1","18.7","-","5.2","4","6.8","9.2","12.5","5.3","6.6","10.1","0","32.6","0.7","7.9","126.2"
"Josh Lambo","K","FA","9","8","11","11","7","13","17","1","13","7","-","3","3","4","4","6","9","7.9","126"
"New England Patriots","DST","NE","3","8","18","3","10","5","3","2","BYE","3","6","7","12","7","17","17","5","7.9","126"
"Kyle Rudolph","TE","FA","6.5","9.1","13","11.5","1.5","-","5.5","3.1","6.1","12.9","1.2","6.4","4.5","12","9.7","5.3","17.7","7.9","126"
"Jamison Crowder","WR","NYG","5.8","9.9","13.8","2.1","3.5","10.3","10.8","16.7","-","10.4","16.2","8.8","10.2","3.7","0.4","0.3","1.6","7.8","124.5"
"DeSean Jackson","WR","FA","10.2","4","15.6","0.5","3.5","5.5","3.5","4.8","-","-","11.1","17.8","5.9","16.2","11.1","11.4","3.4","8.3","124.5"
"Jimmy Graham","TE","FA","1.1","4.2","14","11.3","-","8.9","5.3","3.4","22.3","4.8","10.6","4.7","12.3","1.6","3.1","10.3","6.4","7.8","124.3"
"Carolina Panthers","DST","CAR","8","14","2","7","3","-1","BYE","19","10","6","9","4","1","18","8","4","12","7.8","124"
"Baltimore Ravens","DST","BAL","6","11","12","1","6","7","16","BYE","12","14","1","8","15","6","3","3","1","7.6","122"
"A.J. Green","WR","FA","24","3.8","7.7","23.3","5","8.8","22.9","12.1","-","12.8","0","-","-","-","-","-","-","12","120.4"
"Willie Snead IV","WR","FA","23.2","11.4","-","2.3","-","4.7","8.7","5.6","3.6","16.7","3.3","9.8","3.8","8.5","7.6","2.1","8.2","8","119.5"
"Sterling Shepard","WR","NYG","10.3","11.7","13.3","3","1.4","2.5","3.2","BYE","11","10.2","11","2.2","8.1","3.9","11.6","12.3","3.7","7.5","119.4"
"DeAndre Hopkins","WR","ARI","11.4","17.3","5.6","0.4","11.6","7.1","3.6","4.4","BYE","4.8","5.8","7","11.8","3.3","8.7","4.3","12.3","7.5","119.4"
"Los Angeles Chargers","DST","LAC","4","9","12","2","4","12","5","13","14","3","-","13","3","3","7","10","5","7.4","119"
"Ryan Succop","K","FA","4","5","4","9","7","4","10","12","5","13","6","9","-","10","9","6","6","7.4","119"
"Marvin Jones Jr.","WR","DET","8.5","11.8","32.5","7.4","9.7","7.3","9.4","3.3","0.5","BYE","1.5","5.4","-","6.7","4.1","1.6","7.6","7.8","117.3"
"Seattle Seahawks","DST","SEA","10","7","3","11","BYE","8","13","10","7","6","7","7","8","-3","11","2","9","7.3","116"
"Cole Beasley","WR","BUF","6.5","7.5","7.3","7.3","11.3","17.8","-","5.3","11.6","3.3","11.9","5.6","2.3","4.1","4.8","2.5","4.9","7.1","114"
"Cameron Brate","TE","FA","3","1.6","16.6","6.7","3.8","-","2.9","8.2","10.3","14.4","1.8","4.9","14.6","4.7","13.3","7.2","-","7.6","114"
"Nick Folk","K","NE","11","13","3","5","8","3","6","7","11","0","-","7","4","11","8","3","12","7","112"
"Devontae Booker","RB","FA","-1.2","5.1","2.5","3","5.9","5.3","14.7","12.4","3","8.8","-","10.1","9.7","1.1","3.3","5.1","22.9","7","111.7"
"Case Keenum","QB","HOU","2.2","10.1","13.7","18","6.8","29.5","7.9","-","13.8","7.7","-","-","-","-","1.3","-","-","11.1","111.1"
"Atlanta Falcons","DST","ATL","1","0","11","11","9","2","13","2","5","4","BYE","5","4","26","8","7","3","6.9","111"
"Chris Boswell","K","PIT","9","7","4","5","8","1","12","BYE","2","6","10","4","-","9","23","7","3","7.3","110"
"Stefon Diggs","WR","BUF","10.2","24.2","4","4.6","-","-","1.8","13.6","9.2","16.4","3.7","-","5.9","5.5","1.3","8.9","-","8.4","109.3"
"Theo Riddick","RB","FA","22.8","6.5","4.8","5.8","20.2","-","-","19.3","7.6","-","8.3","5.8","7.7","-","-","-","-","10.9","108.8"
"Pittsburgh Steelers","DST","PIT","5","6","-1","9","7","0","4","BYE","6","0","22","11","9","8","4","4","12","6.6","106"
"Zach Ertz","TE","ARI","5.8","-","-","-","3.7","2.2","1.4","1.9","9.7","5.5","9.5","3.6","13.9","11.2","8","3.3","25.9","7.5","105.6"
"Jerick McKinnon","RB","FA","0.9","0.1","6.7","15.5","4.6","-","4.8","-","0.8","3.3","4.1","7.6","11.5","6.9","7.1","8.5","23","7","105.4"
"J.J. Nelson","WR","FA","1.1","-","0","2.4","0","3.9","8.8","19.9","-","0.9","0","3","10.2","18.4","9.8","19.2","7.5","7","105.1"
"Taylor Gabriel","WR","FA","-","1.9","3.3","4.9","0","0.6","-","12.8","13.6","13.6","-","22.2","4.4","14.2","12","1.5","-","8.1","105"
"Dontrelle Inman","WR","FA","0.6","0.7","3.2","18","0.3","1.1","5.8","7.2","5.6","4.3","-","17.9","10.9","13.1","6.8","4.4","5.1","6.6","105"
"Ted Ginn Jr.","WR","FA","2.5","3.6","6.7","1.4","-1.5","6","-","5.3","4","4.5","11.9","18.8","14.6","2.6","12.4","2.9","9.3","6.6","105"
"Miami Dolphins","DST","MIA","12","3","7","1","0","7","4","BYE","7","17","7","6","0","14","22","1","-4","6.5","104"
"Buffalo Bills","DST","BUF","10","5","22","15","17","6","0","1","4","BYE","9","2","-4","6","9","1","0","6.4","103"
"Jordan Reed","TE","FA","6.4","7","5.6","19.3","5.3","-","-","15.9","-","4.1","7.9","21.5","-","1","0.6","-","8","8.6","102.6"
"James White","RB","FA","4.4","2.9","1.4","6.2","8.9","18.6","9.2","2.9","-","3.7","12.3","2.2","3.5","8.4","3.5","10.6","3","6.4","101.7"
"Green Bay Packers","DST","GB","5","7","5","BYE","7","5","12","1","5","-3","-2","10","8","19","9","8","4","6.3","100"
"Chris Thompson","RB","FA","9.9","5.8","1.6","10","4.5","6.6","11.3","4.1","-","1.6","1.9","3.4","4.5","9.8","3.6","15.7","4.2","6.2","98.5"
"DeVante Parker","WR","NE","-","10.6","11.1","2","7","2.8","2","-","0.8","10.3","13.9","6.4","9.4","1.4","1.7","14.5","4.5","6.6","98.4"
"Jordan Matthews","WR","FA","17.4","7.1","7.9","-","6.5","7.5","1","12.5","8.8","7.3","5.9","4.7","-","7.9","2.7","1.2","-","7","98.4"
"Mike Nugent","K","FA","12","10","5","19","2","5","7","3","-","8","0","6","14","6","-","-","-","7.5","97"
"Ty Montgomery","RB","NE","0","0","-0.1","-","0.1","8.4","12.6","-","9.1","2","4.4","1.4","5.6","14.6","28.3","4","6.1","6.4","96.5"
"Alshon Jeffery","WR","FA","10.5","9.6","7","4.6","7.7","9.3","3.3","12.3","-","4.7","-","-","-","-","14.9","9.2","1","7.8","94.1"
"Las Vegas Raiders","DST","LV","2","-1","11","4","9","1","8","2","7","-","7","12","8","7","9","6","2","5.9","94"
"Hunter Henry","TE","NE","2","0","5.2","12.1","13.4","14.3","1.6","1.4","BYE","7.1","-","8","1.4","7.3","9.7","0","10.3","6.3","93.8"
"Derrick Henry","RB","TEN","4.4","4.9","4.5","0.9","5.4","2.7","0.3","15.7","-","3.1","0","12","BYE","4.7","17.8","3.5","12.8","6.2","92.7"
"Cincinnati Bengals","DST","CIN","4","5","4","13","2","-1","7","3","BYE","5","5","7","8","9","1","9","11","5.8","92"
"Tennessee Titans","DST","TEN","4","7","4","5","11","6","1","4","0","11","4","4","BYE","11","4","3","13","5.8","92"
"Duke Johnson Jr.","RB","FA","5","5.6","8.1","5.6","2.2","13.4","3.3","11.6","4.6","3.1","5.6","4","-","4.5","9.3","4.9","0.4","5.7","91.2"
"Dallas Cowboys","DST","DAL","5","4","6","4","5","10","BYE","5","8","0","2","0","6","13","13","8","2","5.7","91"
"Los Angeles Rams","DST","LAR","1","11","12","17","3","0","6","BYE","9","10","7","0","0","1","4","8","2","5.7","91"
"Chris Hogan","WR","FA","12","5.9","0.3","0","11.6","3.9","0.5","15.1","-","0","-","7","8.3","19.6","1.8","2.2","2.7","6.1","90.9"
"Mohamed Sanu Sr.","WR","FA","16","1.9","3.1","2.2","2.3","10.7","1.6","14.4","7.4","1.4","-","7","2.6","-","4.4","5.6","9.2","6","89.8"
"Cody Parkey","K","FA","-","-","12","11","1","9","5","9","4","1","3","7","-","4","8","9","6","6.4","89"
"Houston Texans","DST","HOU","8","14","1","4","1","5","0","5","BYE","12","2","3","3","8","7","9","7","5.6","89"
"Tavon Austin","WR","FA","1.5","5.6","16.4","0.8","8.5","2.6","12.7","-","1.8","2.9","2.9","11.5","-","8.9","2.7","10","0","5.9","88.8"
"Randall Cobb","WR","FA","6.8","4.3","3.3","-","10.8","11.3","17.6","-","7.4","3.1","8.4","4.1","7.9","3.3","0","-","-","6.8","88.3"
"T.J. Yeldon","RB","FA","12.9","3.8","2.8","11.7","-","2.6","2.8","5.6","10.5","5.9","3.2","2","8.2","9","6.2","0.5","-","5.8","87.7"
"Greg Zuerlein","K","NYJ","0","10","9","5","15","4","4","-","4","9","5","3","5","2","3","3","6","5.4","87"
"Jalen Richard","RB","FA","15.5","2.7","4.1","2","9.7","1.2","0.1","3.7","7.2","-","11.2","2.3","5.3","2.9","4.9","13.9","-0.2","5.4","86.5"
"Jack Doyle","TE","FA","15.5","3.7","6.5","0.6","0.8","11.3","13.8","3.6","6.1","-","0.7","2.5","1","5.5","3.2","4.6","7","5.4","86.4"
"Washington Commanders","DST","WAS","-1","6","8","8","7","6","4","7","BYE","6","6","0","1","9","2","12","5","5.4","86"
"Travis Benjamin","WR","FA","3.2","23.4","6.2","2.8","11.7","-0.3","5.4","10.4","0.5","-","-","0.8","2.4","-0.2","11.6","7.5","-","6.1","85.4"
"Giovani Bernard","RB","FA","3","15.7","4.4","4.2","9.6","9.4","14.7","12.6","-","3.6","6.1","-","-","-","-","-","-","8.3","83.3"
"Jason Witten","TE","FA","6.6","5.1","2.5","4.7","4.3","4.2","-","7.6","19.4","5.9","3.7","3.3","0","2.6","3.1","9.3","1","5.2","83.3"
"Eric Ebron","TE","FA","10.6","5.3","6.9","4.2","-","-","-","7.9","9.2","-","13.1","0","3.8","3.2","3.6","9.3","6.1","6.4","83.2"
"Tyler Lockett","WR","SEA","1.7","9.9","0","1.3","BYE","2.5","1.3","3.2","3","7.2","3.9","0.9","19.8","5.6","19","3.8","-","5.5","83.1"
"Indianapolis Colts","DST","IND","-3","3","10","2","2","3","11","2","5","BYE","6","-1","11","4","18","1","7","5.1","81"
"Brian Hoyer","QB","LV","-","3.1","18.9","19.8","23.8","12.1","2","-","-","-","-","-","-","-","-","-","-","13.3","79.6"
"Adam Humphries","WR","FA","4.1","6.7","10","0.4","3.1","-","2.3","5.8","10.6","4.8","4.7","2.1","1.9","-","10.9","1.2","9.4","5.2","78"
"Chicago Bears","DST","CHI","4","1","1","7","4","7","11","9","BYE","5","0","0","15","14","3","-4","1","4.9","78"
"William Fuller V","WR","FA","16.7","10.4","3.1","14.1","0.4","-","2.2","2.3","-","-","1.7","6","5.9","2.2","3.9","3.9","2.4","5.4","75.2"
"Seth Roberts","WR","FA","7.9","2.5","8.7","7.2","2.2","2.9","4.2","12.9","3.2","-","0.6","11.1","3.8","1.2","2.7","0","2.6","4.6","73.7"
"Detroit Lions","DST","DET","0","8","1","3","7","2","7","6","4","BYE","13","6","11","5","3","-3","0","4.6","73"
"Chosen Anderson","WR","FA","0","0","3.4","1.2","1","2.4","7.1","3.1","4.9","6.9","-","1.4","12.1","11.1","14","0","4.3","4.6","72.9"
"Blaine Gabbert","QB","FA","13.5","20.7","5","12.5","19.5","-","-","-","-","-","-","-","1.5","-","-","-","-","12.1","72.7"
"Donte Moncrief","WR","FA","12.4","0.9","-","-","-","-","-","10","11.5","-","9.7","10.5","8.6","0","-","9","-","8.1","72.6"
"Rob Gronkowski","TE","FA","-","-","0","1.1","10.9","22.2","15.3","16.9","-","5.6","-","0","-","-","-","-","-","9","72"
"Matt Barkley","QB","BUF","-","-","-","-","-","-","-0.9","-","-","BYE","-","20.6","8","12.5","14.5","10.9","5.2","10.1","70.8"
"Damien Williams","RB","FA","3.8","-","8.5","1.5","7","7.7","7.6","-","4.9","14","0","1.8","0.9","6.8","0","5.1","0.8","4.7","70.4"
"Vernon Davis","TE","FA","2","5.1","0","0.8","1.5","11","7.9","9.3","-","12.6","0","6.8","4.7","0.1","2.3","1.3","4.9","4.4","70.3"
"Tyler Boyd","WR","CIN","2.4","5.8","1.8","1","3.3","7.9","0.3","4.1","BYE","1.2","11.4","6.2","6.6","8.9","1.3","2.5","5.4","4.4","70.1"
"Tyler Eifert","TE","FA","-","-","-","-","-","-","0.9","16.2","-","9.6","3.7","12.8","8.5","16.8","0.9","-","-","8.7","69.4"
"DeAndre Washington","RB","FA","2.4","5.2","6.2","2.6","5.2","4.9","2.2","3.2","3.5","-","0","-","-","0","3.4","23.7","5.7","4.9","68.2"
"Breshad Perriman","WR","FA","3.5","3.2","2.4","2.4","1.1","4.8","1.1","-","3.3","12.4","0","7.4","11.9","5.2","0","3.2","6.2","4.3","68.1"
"Robert Woods","WR","HOU","2","1","5.1","8.9","2.6","11","-","5","16.2","-","4.1","-","-","2.9","0.5","4.3","4.3","5.2","67.9"
"Robert Griffin III","QB","FA","9.3","-","-","-","-","-","-","-","-","-","-","-","-","11.3","18.6","10.8","16.5","13.3","66.4"
"Phillip Dorsett II","WR","LV","9.4","3","2.7","12.7","2.6","1.2","-","3.3","2.8","-","5","3.1","0.7","1.9","11","0.8","5.6","4.4","65.8"
"Allen Hurns","WR","FA","7.5","6.4","4","10.7","-","7.4","4.5","15.8","0","1.3","0.9","7.2","-","-","-","-","-","6","65.7"
"John Brown","WR","FA","0.8","1.4","7","14.4","1.1","5.4","-","10.9","-","4","0","1.9","0","0","14.1","1.2","2.5","4.3","64.7"
"Tajae Sharpe","WR","FA","7.6","3.3","4.8","1.5","1.7","0.1","5.9","1.1","5.8","12.8","12.8","1.1","-","0","1","4.8","0","4","64.3"
"Jacksonville Jaguars","DST","JAC","1","1","9","8","BYE","2","-1","-4","3","2","9","4","3","2","4","12","9","4","64"
"Vance McDonald","TE","FA","7.4","13.5","0.4","-","-","2.5","2.4","-","14.4","5","10.6","6","0.9","0","-","-","-","5.7","63.1"
"Devin Funchess","WR","FA","0.9","7.9","0","5.6","0","10.8","-","3.8","2.8","11.6","3.2","1.9","4.4","9.3","0","0.9","-","4.2","63.1"
"San Francisco 49ers","DST","SF","16","6","2","2","0","3","3","BYE","-3","10","0","1","3","8","-1","8","5","3.9","63"
"Kai Forbath","K","LAR","-","-","-","-","-","-","-","BYE","-","-","6","7","10","16","8","7","8","8.9","62"
"Paul Perkins","RB","FA","-","-","0","8","2.2","2.6","1.6","-","4.7","3.1","3.5","4.3","3.8","4.5","5.6","7.7","10.2","4.4","61.8"
"Cordarrelle Patterson","RB","ATL","1.4","-0.2","0.8","4","10.6","-","12.7","3.6","4.5","1.7","5.3","3.7","1.6","1.8","4.9","1.3","3.9","3.9","61.6"
"Marquise Goodwin","WR","CLE","0","17.2","0.6","1.2","7.3","2.2","15.3","-","4.3","-","1.5","1.3","3.5","0","4.3","1.6","0.8","4.1","61.1"
