"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Aaron Rodgers","QB","GB","23.6","17.4","26.4","BYE","15.9","12.5","23.7","33.8","26.2","27.5","29.3","23.1","16","21.2","12","37.2","34.2","23.8","380"
"Matt Ryan","QB","FA","24.4","27.8","19.9","35.5","15","21.6","13.7","24.4","27.8","12.7","-","18.3","16.2","21.5","19.3","20","29.4","21.7","347.5"
"Drew Brees","QB","FA","31.4","14.5","25.9","11.9","-","32.6","24.7","20.7","24.7","21","15.4","32.5","7","4.5","29.4","16.1","20","20.8","332.3"
"David Johnson","RB","FA","19.2","14.3","23.1","10.4","30.5","31.8","17.1","10.8","-","22.1","28","22.1","29.5","12.1","22.8","29.6","4.4","20.5","327.8"
"Kirk Cousins","QB","MIN","10","18.6","19.3","17.3","12.3","17.3","21.5","24.2","-","18.4","27.4","30.2","16.8","16","9.7","29.8","11.5","18.8","300.3"
"Ezekiel Elliott","RB","FA","11.2","12.7","16","21.7","29.1","17.4","-","14.8","21.7","38.9","12.7","24","16.5","10.7","24.8","21.2","-","19.6","293.4"
"Dak Prescott","QB","DAL","10.3","18.3","23.5","18.1","17.5","18.5","BYE","27.3","23.9","18.8","25.6","21.7","11.3","6.7","19.2","24","2.4","17.9","286.9"
"Matthew Stafford","QB","LAR","26.1","15.5","26.5","8.2","18.8","28.2","17.8","13.6","14.8","-","11.1","16.3","23.8","16.4","10.2","12.5","19.9","17.5","279.8"
"Tyrod Taylor","QB","NYG","5.5","24.4","16.4","16.6","15.8","20","24.3","18.1","25.9","-","8.5","20.4","12.6","15.3","15.9","31.2","-","18.1","270.9"
"Blake Bortles","QB","FA","15","18.6","11.5","25.9","-","10.9","13.1","29.7","21.5","17.7","12.4","21.1","10.1","15.6","7.2","25.7","14.1","16.9","270.1"
"Derek Carr","QB","NO","22.4","25","11.9","23.8","22","9.8","12.4","35.8","7.7","-","21.6","17.4","20.8","5","11","22.1","-","17.9","268.5"
"Russell Wilson","QB","DEN","11.9","11.6","14","23.9","-","11.5","8.7","9.2","26.3","26.5","24.3","10","16","5.5","20.4","33.6","14.7","16.8","268.1"
"Andy Dalton","QB","CAR","17.3","19.3","10.2","14.6","22.2","21.9","20.3","19.5","-","11.7","15.3","12.7","22.2","16.9","10.4","12.7","13.4","16.3","260.6"
"Marcus Mariota","QB","PHI","16.7","16.6","4.8","8.1","30.5","27.8","16.7","19.9","25.9","27.8","22.5","21.6","-","7.3","5.4","8.3","-","17.3","259.9"
"Philip Rivers","QB","FA","14.6","23.8","11.2","18.8","26.4","11.1","14.6","12.7","18.7","17","-","19.7","14.8","7.4","14.2","18.9","14.9","16.2","258.9"
"Tom Brady","QB","FA","-","-","-","-","29.6","27.2","18.2","30.1","-","11.3","28.4","19","14.9","26.1","7.4","20.6","25.6","21.5","258.6"
"Jameis Winston","QB","NO","25.5","4.6","25.5","11.1","15.4","-","20.7","18.8","21.5","18.5","17.4","16","15.3","9","10.5","16.5","9.9","16","256.1"
"Cam Newton","QB","FA","21.2","29.8","13.1","15.6","-","27","-","12.8","14.6","23.8","12.4","20.4","12.5","11.5","20","11.5","8.1","17","254.3"
"Ben Roethlisberger","QB","FA","21.8","19.8","7","33.9","29.2","9.6","-","-","18.9","28.4","8.7","20.8","17.6","2.6","14.9","19.1","-","18","252.2"
"LeSean McCoy","RB","FA","13","9","23.6","16.8","15.8","32.2","1.1","-","12","-","10.5","27.4","19.1","16.8","28.9","20.5","1.6","16.6","248.3"
"Joe Flacco","QB","FA","12","16.2","11.8","22","13","12.3","6","-","14.8","22.1","15.4","13.3","29.2","19.1","12.1","14.5","8.7","15.2","242.5"
"Le'Veon Bell","RB","FA","-","-","-","17.8","15.4","12.8","14.9","-","7","25.4","26.1","20.2","16.2","47.8","13.1","25.7","-","20.2","242.4"
"Devonta Freeman","RB","FA","4","9.3","26.7","12.4","18.3","5","10","17.8","10.5","8.1","-","19.7","22.5","1.8","31.5","8.8","23.7","14.4","230.1"
"Alex Smith","QB","FA","28","3.6","13.2","17.7","-","8.9","17.3","10","-","8.4","19.4","15","12.5","11.2","11.6","22.4","24.7","14.9","223.8"
"Carson Wentz","QB","FA","19.2","12.6","21","-","16.9","7.4","6.1","11.8","10.2","8.2","14.9","17.5","12.6","13.1","11.6","10.8","19.1","13.3","213"
"Melvin Gordon III","RB","FA","17.7","18","13.8","17.9","12.7","9.4","30.1","15.5","32.1","13.2","-","8.9","19.8","0.5","-","-","-","16.1","209.6"
"Mike Evans","WR","TB","15.9","13","19.2","5.9","14.9","BYE","21.6","7","27","6.6","10.5","22.4","5.8","4.2","5.9","15.7","12.5","13","208.1"
"Antonio Brown","WR","FA","24.6","3.9","14","18.4","13.8","4.5","11.9","-","14.5","20.4","7.6","27.1","11.4","7.8","5.8","15.6","-","13.4","201.3"
"Jordan Howard","RB","FA","-","3.1","9.2","13.2","22.3","10","2.2","26.2","-","8","9.9","12.7","29.7","11","17.3","12.8","13.5","13.4","201.1"
"Mark Ingram II","RB","FA","8.7","4.7","18.7","16.5","-","6","12.2","-1.5","29.1","6.3","7.5","28.7","5.3","2.3","9.2","23.3","19.2","12.3","196.2"
"Odell Beckham Jr.","WR","FA","7.3","8.6","12.1","2.3","11.6","32.2","4.9","-","16.6","15.7","4.6","21.6","10","15.4","13.3","15","4.4","12.2","195.6"
"Trevor Siemian","QB","FA","9.1","11.3","29","6.7","-","13.3","10.2","6.8","15.3","14.8","-","29","-","17.4","9.7","5.3","13.7","13.7","191.7"
"Ryan Tannehill","QB","TEN","15.1","23","19","7.6","3.6","10.4","16.3","-","9.7","19.2","14.8","26.8","7","17.8","-","-","-","14.6","190.2"
"Jay Ajayi","RB","FA","-","2.5","8.8","4.6","10.2","32.7","27.6","-","19","8","8.4","11.6","8.7","6.3","5.1","26.9","7.9","12.6","188.3"
"T.Y. Hilton","WR","FA","7.9","4.1","23.4","10.2","23.1","4.9","19.3","2","8.2","-","15.7","5.4","14.6","17.5","4.5","12.5","9.5","11.4","182.8"
"Julio Jones","WR","FA","12.6","16.6","1.6","36","2.9","19.9","17.4","2.9","17.1","13.5","-","3.5","11.3","-","-","6","15.6","12.6","176.9"
"Frank Gore","RB","FA","7.8","12.3","14.3","15.5","7.9","10.8","14.3","12.2","19.1","-","12.1","3.1","7.9","13.4","11.5","6.4","7.6","11","176.2"
"Latavius Murray","RB","FA","13.2","16.1","9.8","2.4","-","-","18.3","7.1","30.7","-","9.2","14.8","22.5","16.3","7.2","5.1","2.5","12.5","175.2"
"Justin Tucker","K","BAL","9","15","17","8","4","11","14","BYE","9","9","6","19","10","13","12","15","4","10.9","175"
"Davante Adams","WR","LV","11","0.6","8.3","-","14.5","3.4","25.2","7.4","10.1","15.6","4.2","23.3","1.7","16.4","2.5","10.4","17.1","10.7","171.7"
"Brandin Cooks","WR","DAL","27.4","6.8","1.9","3.1","-","23.5","11.8","10.4","6.6","15.8","4.9","0","7.7","6.1","30.6","9.8","1.9","10.5","168.3"
"Carlos Hyde","RB","FA","21.3","3.2","24.5","13.9","17.4","5.2","-","-","-","1.4","11","15.5","9.8","26","5.7","10.2","-","12.7","165.1"
"Michael Thomas","WR","NO","5.8","5.6","13.1","10.4","BYE","13.8","13","6.3","19.3","0","6.8","22.8","4.2","-","11.2","9.8","21.6","10.9","163.7"
"Tevin Coleman","RB","FA","11.7","13.1","26.9","3.3","22.3","1.7","13.4","-","-","-","-","7.3","4.9","17.5","6.6","19.5","11.9","12.3","160.1"
"Lamar Miller","RB","FA","11.7","9.7","10.7","10.8","2.4","29.8","6.7","12.3","-","8.3","17.3","5.5","1.8","18.2","14.9","-","-","11.4","160.1"
"Todd Gurley II","RB","FA","4.2","7","20","8.2","14.8","9.7","9.2","-","7.4","7.2","13.6","8.9","4.7","14.3","3.6","14.7","7.7","9.7","155.2"
"Denver Broncos","DST","DEN","6","22","9","15","4","6","9","21","1","12","BYE","5","17","6","3","1","15","9.5","152"
"Dustin Hopkins","K","LAC","11","11","19","8","4","11","5","10","-","16","6","8","14","3","10","11","4","9.4","151"
"Michael Crabtree","WR","FA","10.7","9.1","10.2","26.8","10.7","1","15.6","10.8","2.7","-","0.5","11","13.4","2.1","12","9","4.7","9.4","150.3"
"Amari Cooper","WR","CLE","15.7","7.1","6.2","4.8","21.8","12.9","2.9","23.3","5.6","-","11.7","2.2","11.9","2.9","2.8","7.6","9.9","9.3","149.3"
"Adam Vinatieri","K","FA","12","11","8","12","23","12","10","2","7","-","7","1","13","5","13","6","7","9.3","149"
"Matt Prater","K","ARI","8","8","12","8","6","7","9","8","15","-","9","12","18","10","7","3","8","9.3","148"
"Kansas City Chiefs","DST","KC","1","7","35","-2","BYE","10","11","11","11","13","4","9","11","5","8","10","4","9.3","148"
"Tyrell Williams","WR","FA","7.1","12.1","6.9","4","17.7","2.8","14","0.4","12.5","18.5","-","13","10.7","6.8","2","12.4","7","9.2","147.9"
"Wil Lutz","K","NO","11","8","8","5","BYE","13","3","16","12","5","8","7","8","10","12","12","9","9.2","147"
"Arizona Cardinals","DST","ARI","6","23","8","5","15","12","8","3","BYE","6","5","1","6","7","7","8","26","9.1","146"
"New York Giants","DST","NYG","1","13","3","0","4","2","21","BYE","7","6","7","23","6","13","12","3","20","8.8","141"
"Graham Gano","K","NYG","9","18","5","7","2","7","-","15","7","6","13","2","1","17","15","11","6","8.8","141"
"Stephen Gostkowski","K","FA","14","7","9","0","7","10","3","13","-","6","6","11","17","4","12","11","10","8.8","140"
"Dan Bailey","K","FA","17","9","8","6","4","13","-","12","5","14","9","8","5","1","15","6","8","8.8","140"
"Cairo Santos","K","CHI","10","15","6","2","-","9","10","13","15","13","5","8","3","3","5","9","13","8.7","139"
"Minnesota Vikings","DST","MIN","21","12","20","8","10","BYE","8","2","3","3","14","3","8","6","-1","0","22","8.7","139"
"Stephen Hauschka","K","FA","6","3","13","11","-","10","7","9","8","14","8","4","16","4","7","5","13","8.6","138"
"Tyreek Hill","WR","MIA","6.9","0.7","2.3","8.2","-","2","12.1","16.5","3.2","10.1","6.1","17.5","7.2","10.8","12.8","15.5","6.1","8.6","138"
"Travis Kelce","TE","KC","7.4","3.4","14.9","8.3","BYE","3.2","2.4","16.1","5.8","5.1","10.3","10.1","14","10.1","4.1","22","0.8","8.6","138"
"Jarvis Landry","WR","FA","5.9","11.5","19.6","6.1","3","9.1","9.8","-","3.3","5.3","8.8","4.7","8.6","8.3","16.8","2.9","13.6","8.6","137.3"
