"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Drew Brees","QB","FA","20.5","12.9","31.8","32.7","19.3","16.5","-","33.2","19.2","31.7","14.1","18.5","7.8","28.8","20.5","12.1","38","22.4","357.7"
"Cam Newton","QB","FA","12.8","16.7","29.4","-","6.8","30.7","14.8","27.8","18.2","6.3","26.6","20.1","27.3","15.2","16.1","9.8","19.2","18.6","297.7"
"Andy Dalton","QB","CAR","15.5","16.2","13.7","5.5","9","25.2","27.5","31","6.7","15.2","11.7","-","10.5","30.1","19.2","31.5","19.5","18","288"
"Philip Rivers","QB","FA","23.6","29.9","10.5","26","18.4","13.4","15.8","-","19","13.4","14.5","27.8","12.5","20","15.5","7.7","19.4","18","287.4"
"Matthew Stafford","QB","LAR","20","17.2","21.6","16.5","14.4","24.5","26.3","26.7","-","18.7","22.9","16.5","20","5.9","8.3","6.8","12.7","17.4","278.9"
"LeSean McCoy","RB","FA","24.9","16.7","21.8","9.4","15.2","15.1","8.1","6.5","14","16.1","27","-","11.5","34.1","10.6","28.2","19.4","17.4","278.6"
"Russell Wilson","QB","DEN","15.5","11","21.5","10.6","22.6","16.4","20.3","15.2","22.3","21.5","18.6","-","29.1","10.2","15.2","9.5","10.8","16.9","270.2"
"Nick Foles","QB","IND","-","0","-","6","16","30","5.7","BYE","45.2","22.9","22.6","-","23.7","19.5","33.2","18.9","16","20","259.7"
"Ben Roethlisberger","QB","FA","7.6","12.6","16.9","15.3","-","15.7","12.9","11.1","25.9","10.2","31.9","16.4","19.4","25.3","9.6","20","8.1","16.2","258.8"
"Alex Smith","QB","FA","17.4","22.6","14.1","23.2","8.8","8","16","21","5.7","-","22.4","21.5","22.3","14.2","31.2","4.8","-","16.9","253.2"
"Tom Brady","QB","FA","15.1","11.2","15.5","20.4","5.9","14.4","7.1","7.1","33.2","-","14.1","23.8","20.8","22.8","20.6","10.9","8.6","15.7","251.5"
"Matt Ryan","QB","FA","19.4","23","15.2","22.8","18.8","-","21.7","9.3","7","12.4","14.2","12.7","16.1","12.2","8.3","17.9","17.1","15.5","248.1"
"Marshawn Lynch","RB","FA","5.2","31.5","6.9","18.3","10.7","27.5","15.4","2.7","14.1","22.1","24.3","-","5.7","13.2","18","7.6","16.1","15","239.3"
"Ryan Tannehill","QB","TEN","13.2","14.9","14.1","10.8","16.9","-","14.3","10.9","14.4","15.4","14.8","18","21.4","23.6","24.4","3.3","8.1","14.9","238.3"
"Josh Gordon","WR","FA","-","-","22.8","7.1","14.6","12.6","2.1","19.2","5.4","-","18.5","29.7","38.1","24.5","12.7","11.9","8.2","16.2","227.4"
"Jimmy Graham","TE","FA","10.5","23.9","25.4","22","13.5","0","-","15.7","23.6","5.9","4.1","16","10.2","17.8","2.5","13.3","13.1","13.6","217.5"
"Robert Griffin III","QB","FA","19.6","22.9","12.7","14.1","-","13.5","26.3","4","11.3","27.6","23","5.4","21.1","11.5","-","-","-","16.4","213"
"A.J. Green","WR","FA","28.2","4.1","10.6","5.1","6.1","16.3","21.5","11.5","12.8","21.1","0.7","-","14.3","13.2","9.3","21.7","12.1","13","208.6"
"Joe Flacco","QB","FA","18.5","13","6.8","11.9","10.1","20.3","14","-","20.5","8","8.5","12.9","14.7","20","10.2","12.4","5.8","13","207.6"
