"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Patrick Mahomes II","QB","KC","28.3","38.8","25.3","22.9","15.8","27","32.8","26","26.8","20.1","35.9","BYE","33","20.8","18","28.2","17.3","26.1","417.1"
"Matt Ryan","QB","FA","8.8","30.7","40.2","29.3","14.4","27.5","19.3","-","28","20.5","13.7","20.7","7.6","20.5","25","19.5","28.3","22.1","354"
"Ben Roethlisberger","QB","FA","9","39","24","14.9","21.6","20.6","-","16.9","25.2","35.8","20.7","20.3","17.2","19.3","13.1","29.6","13.8","21.3","340.9"
"Deshaun Watson","QB","CLE","11","22.8","25","31.1","21","5.3","10.9","31","20.3","-","9","29.4","16","18.2","22.4","36.5","22","20.7","331.7"
"Todd Gurley II","RB","FA","20.7","29.3","19.6","21.6","29.3","34.5","26.6","27.5","13.9","22","9.4","-","28.5","5.8","24.4","-","-","22.4","313.1"
"Aaron Rodgers","QB","GB","24.9","16","19.9","15","28.7","28.4","BYE","15.9","19.2","18.1","21.6","11.9","15.3","20.2","13.5","42.9","1","19.5","312.6"
"Jared Goff","QB","DET","17.2","18.4","25.6","39.3","14.3","7.4","16.5","26.5","29.3","21","35.1","-","8.1","-0.3","10.7","17.2","24","19.4","310.3"
"Drew Brees","QB","FA","31.6","17.6","40.5","8.6","26.7","-","16.8","6.8","31.4","28.9","30.5","20.4","7.3","13.9","5.9","16.9","-","20.3","304"
"Russell Wilson","QB","DEN","20.4","14.7","15.6","9","19.9","20.9","-","23.4","19.5","26.2","17.6","22","24.8","9","19","28.5","7.9","18.7","298.4"
"Saquon Barkley","RB","NYG","18.8","10.8","17.7","16","24.9","28.9","17.4","11.1","BYE","10","33.2","26.2","14.6","25.7","5.6","13.7","20.2","18.4","294.8"
"Dak Prescott","QB","DAL","8.7","14.9","8.8","18.4","11.7","29.5","20.2","BYE","14.8","21.7","14.8","27.4","14.2","24.4","6.2","16.6","33.5","17.9","285.9"
"Philip Rivers","QB","FA","29","22.7","17","21.7","21.4","14.3","20.1","-","17.1","15","19.6","20.7","24","13.5","18.5","3.3","7","17.8","285"
"Cam Newton","QB","FA","18.2","27.6","29.6","-","16.4","23.3","25.7","28","21.2","14.7","24.5","22.5","15.3","10.9","4.7","-","-","20.2","282.6"
"Kirk Cousins","QB","MIN","20.4","33.5","10","31.7","14.1","16.6","17.5","20.7","6.9","BYE","17","27.4","8","10.8","15.3","22.2","10","17.6","282.1"
