"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Seattle Seahawks","DST","SEA","8","0","6","BYE","2","11","-1","11","14","7","4","13","17","8","10","13","21","9","144"
"Justin Tucker","K","BAL","4","14","11","8","9","14","9","15","6","3","BYE","12","15","4","8","1","8","8.8","141"
"Los Angeles Rams","DST","LAR","-1","6","9","-","6","2","3","3","16","6","10","15","32","21","5","-2","8","8.7","139"
"New England Patriots","DST","NE","6","25","6","-2","14","11","4","13","5","BYE","4","8","3","11","19","6","5","8.6","138"
"Baltimore Ravens","DST","BAL","1","15","1","8","10","8","13","6","1","13","BYE","12","5","10","21","2","12","8.6","138"
"Greg Olsen","TE","FA","14.3","7.2","12.9","3","19.2","12.2","10.5","1.6","3","11.9","6.1","-","5.9","13.2","11","2.1","2.7","8.6","136.8"
"A.J. Green","WR","FA","19.6","0","10.2","-","12.1","-","-","-","10.1","2.3","18.7","12.1","11.7","28.4","4.9","0","6.2","10.5","136.3"
"Jordan Matthews","WR","FA","3.7","1.7","17.9","2.8","3.5","5","-","4.7","10","25.8","16.7","7.7","11.1","2.3","0","5.8","16.5","8.5","135.2"
"Arizona Cardinals","DST","ARI","3","11","3","BYE","1","17","5","7","10","25","13","9","8","10","13","-3","2","8.4","134"
"Nick Folk","K","NE","9","8","15","5","0","5","15","7","4","8","-","3","9","17","6","10","13","8.4","134"
"Sammy Watkins","WR","FA","3.1","17.7","1.9","9","8.7","2.7","24.2","21.7","-","2.7","3.5","3.5","1.1","10.7","2.8","13.5","6.2","8.3","133"
"Graham Gano","K","NYG","8","12","9","4","8","14","5","10","4","3","5","-","7","12","15","5","11","8.3","132"
"Julian Edelman","WR","FA","11.6","15","8.9","2.3","3.5","10.1","5.2","1.4","14.9","-","8.1","8.9","4.8","20.5","15.4","-","-","9.3","130.6"
"Detroit Lions","DST","DET","7","4","16","7","11","21","5","4","BYE","8","5","1","8","13","10","5","5","8.1","130"
"Green Bay Packers","DST","GB","-1","4","12","6","22","7","6","0","BYE","17","24","4","1","0","5","16","7","8.1","130"
"Indianapolis Colts","DST","IND","0","1","17","10","14","9","14","1","5","BYE","0","15","14","9","12","-1","10","8.1","130"
"San Francisco 49ers","DST","SF","18","1","2","13","3","14","-2","BYE","9","8","16","11","5","1","8","13","9","8.1","129"
"Cleveland Browns","DST","CLE","4","12","2","BYE","5","8","8","14","8","17","2","7","7","23","3","6","2","8","128"
"Mike Nugent","K","FA","17","6","7","-","5","15","0","9","7","4","10","9","2","3","14","14","5","7.9","127"
"Josh McCown","QB","FA","14","17.8","0.3","-","-","-","-","-","-","19.9","20.3","12.8","5.6","12.8","12.3","3.9","7.2","11.5","126.9"
"Minnesota Vikings","DST","MIN","22","1","3","4","0","5","15","19","7","BYE","4","1","24","13","1","1","6","7.9","126"
"Miami Dolphins","DST","MIA","10","-1","10","17","BYE","4","10","27","22","7","8","-1","8","2","-2","5","-1","7.8","125"
"Mohamed Sanu Sr.","WR","FA","6","16.4","9.1","-","13","18","5.4","15.2","16.4","2","2.3","10.9","3.3","1.6","0.4","1.6","1.6","7.7","123.3"
"Cairo Santos","K","CHI","4","6","4","11","6","-","13","12","6","5","6","8","4","2","8","13","14","7.6","122"
"Nick Foles","QB","IND","14.9","17.4","26.2","3.9","13.6","14.4","-","21.8","7.1","BYE","-","-","-","-","-","-","-","14.9","119.3"
"Denver Broncos","DST","DEN","7","3","8","BYE","4","15","9","6","-1","7","3","-1","13","11","9","9","17","7.4","119"
"Dallas Cowboys","DST","DAL","1","10","12","9","3","5","4","6","9","11","BYE","3","2","4","10","12","18","7.4","119"
"Greg Zuerlein","K","NYJ","9","14","7","-","4","5","4","1","7","2","20","6","10","4","6","11","8","7.4","118"
"Pittsburgh Steelers","DST","PIT","3","0","14","3","15","2","7","13","8","5","8","BYE","-3","7","9","12","10","7.1","113"
"Carolina Panthers","DST","CAR","10","14","0","-4","12","1","-2","9","7","-3","5","BYE","4","10","10","9","31","7.1","113"
"Jacksonville Jaguars","DST","JAC","10","-1","-2","1","10","4","16","6","5","4","BYE","11","22","1","3","8","13","6.9","111"
"Kenny Stills","WR","FA","-","2.5","3.8","6.2","1.6","-","16.3","5.7","7.2","2.6","9.2","9.6","22.2","2.3","6.7","6.8","8.2","7.4","110.9"
"Travis Kelce","TE","KC","4.9","8.1","9.6","15.3","7.5","BYE","3.3","4.5","12.7","1.9","1.7","6.7","3.6","9","9.9","3.1","8.4","6.9","110.2"
"Kai Forbath","K","LAR","0","12","12","2","5","9","13","10","8","-","1","8","9","0","7","9","5","6.9","110"
"New York Giants","DST","NYG","-3","4","10","15","4","5","3","BYE","-3","4","4","3","11","27","11","8","5","6.8","108"
"Tampa Bay Buccaneers","DST","TB","2","5","11","7","8","-1","BYE","5","8","1","22","5","9","5","6","4","8","6.6","105"
"Cincinnati Bengals","DST","CIN","8","12","12","BYE","-3","-2","6","5","7","2","6","9","7","-4","17","16","6","6.5","104"
"Allen Hurns","WR","FA","23","1.3","12.3","6.8","2.6","1.8","0.7","4.9","23.2","0.9","-","1.3","4.2","9.6","7","2.6","1.5","6.5","103.7"
"Kansas City Chiefs","DST","KC","4","1","5","16","3","BYE","5","13","7","9","3","3","2","3","10","2","17","6.4","103"
"Jason Witten","TE","FA","1.4","3.2","4.9","6.1","5.9","8.4","2.7","13","6.2","9.3","-","9","0.8","2.6","6.9","15","4.9","6.3","100.3"
"Robert Woods","WR","HOU","7.8","0.5","1.9","1.7","3.7","15.8","-1","11","-","5.2","1.5","17.8","7.1","3.6","2.2","11.2","9.9","6.2","99.9"
"John Brown","WR","FA","8.9","3","17.2","-","0.4","4.3","3.6","17.9","0.7","13.3","6.9","6.1","4","0","2.2","5.4","5.1","6.2","99"
"Keenan Allen","WR","LAC","3.7","5.5","1.7","13.5","2.5","2.7","5.8","13.3","4.7","-","6.3","12.4","24.1","0.3","1.8","-","-","7","98.3"
"Los Angeles Chargers","DST","LAC","8","4","9","10","16","1","3","-4","-4","-","11","15","-1","11","1","13","5","6.1","98"
"Jarvis Landry","WR","FA","0","2.9","2.4","1.8","-","13.5","4.6","2.7","10.6","4.5","8.6","17","6.8","5.5","9.9","1.1","5.5","6.1","97.4"
"Matt Prater","K","ARI","-","-","-","BYE","-","7","6","11","-","10","8","11","12","11","10","8","2","8.7","96"
"Chicago Bears","DST","CHI","3","13","16","-2","7","10","5","-3","BYE","-2","8","17","3","-3","3","12","9","6","96"
"Drew Stanton","QB","FA","-","6.5","19.4","-","4.7","-","-","-","-","7.7","15.8","6.3","12.5","17.3","4.7","-","-","10.5","94.7"
"Michael Crabtree","WR","FA","2.5","14.2","14.4","4.3","1.6","10.9","2.7","-","4","6.2","14.5","5.8","1","5.6","1.9","0.5","4.1","5.9","94.2"
"Atlanta Falcons","DST","ATL","3","0","23","-4","4","3","6","2","BYE","11","8","7","10","-2","1","20","1","5.8","93"
"Ryan Succop","K","FA","16","5","1","5","4","11","5","4","-","1","6","6","3","1","12","9","4","5.8","93"
"Mike Glennon","QB","FA","-","-","10.7","18.1","16","18.6","-","10.1","16.1","-","-","-","-","-","-","-","-","14.9","89.6"
"Larry Fitzgerald","WR","FA","2.2","5.1","1.4","-","5.7","15.8","2.1","22","7","11.2","3.3","-","-","3.4","3","3.3","2.9","6.3","88.4"
"Kirk Cousins","QB","MIN","-","17.9","27.6","5.5","19.7","16.2","1.6","-","-","BYE","-","-","-","-","-","-","-","14.7","88.4"
"Robert Griffin III","QB","FA","8.9","3.7","-","-","-","-","-","-","14.4","-","12.4","3.3","-","1.3","16","7.9","19.3","9.7","87.4"
"Brandin Cooks","WR","DAL","15.5","4.8","7.4","3.1","7.1","-","2.3","21.8","3.8","15","5.5","-","-","-","-","-","-","8.6","86.3"
"Zach Ertz","TE","ARI","13.7","8.6","1.4","2.3","3.9","10.7","-","4.8","0.4","1.7","5.5","3","0","9.9","3.2","11.5","5.6","5.4","86.2"
"Jared Cook","TE","FA","5.6","4.6","7.5","-","4.4","7.4","2.5","1.1","1.2","14.4","1.9","2.7","0","18.1","2.2","4.1","3.7","5.1","81.4"
"Tennessee Titans","DST","TEN","14","6","1","-2","2","12","8","4","BYE","1","7","2","5","7","6","4","1","4.9","78"
"New York Jets","DST","NYJ","3","5","6","4","4","2","1","0","1","14","BYE","0","5","9","7","7","9","4.8","77"
"Brandon McManus","K","DEN","7","6","4","BYE","13","7","6","5","3","11","1","7","-","0","0","0","0","4.7","70"
"Taylor Gabriel","WR","FA","1.3","1.3","7.9","-","9.5","2.4","3.9","6","14.7","3.1","9.2","1.3","0","1.6","0.2","0.1","6.6","4.3","69.1"
"New Orleans Saints","DST","NO","-1","2","6","-3","5","BYE","7","10","12","6","1","2","4","-4","14","0","8","4.3","69"
"Allen Robinson II","WR","LAR","0","7.5","7.9","3.8","5.1","6.8","12","14.2","3.5","8","-","-","-","-","-","-","-","6.9","68.8"
"Latavius Murray","RB","FA","0","0.6","0.1","0","-","0","0","0","1.2","1.1","5.9","23.2","-","8.5","7.6","10.8","9.7","4.6","68.7"
"Washington Commanders","DST","WAS","6","16","-2","-1","3","1","6","10","1","BYE","4","9","3","4","3","7","-2","4.3","68"
"Jerick McKinnon","RB","FA","0.1","1.2","0.8","15.2","4.6","8.2","10.1","8.2","6.8","-","5.8","6.3","-","-","-","-","-","6.1","67.3"
"Donte Moncrief","WR","FA","0.9","1.6","6.2","1.4","0","0","0.9","17.3","0.2","-","0","4.2","26","3.3","0","0.5","1.6","4","64.1"
"Colt McCoy","QB","ARI","-","-","-","BYE","-","-","9.4","17.6","-","-","-","-","26.9","5.1","4","-","-","12.6","62.9"
"Davante Adams","WR","LV","0","5","1.1","1.8","7.1","7.7","8.1","7.5","-","1","7.3","1","12.1","0.6","0.6","1.7","0","3.9","62.6"
"Chris Hogan","WR","FA","0","0","0","0","2.7","13.2","4.3","1.4","-","9.7","7.4","0.5","6.8","11.4","0.6","4.3","0.3","3.9","62.6"
"Carlos Hyde","RB","FA","11","0.5","7.1","2.6","4.3","1.5","2.3","-","2.2","9.6","3","5.6","5.7","1.2","5.5","-","-","4.4","62.1"
"Cole Beasley","WR","BUF","4.2","1","0.9","1.4","2.3","1.1","0","1.1","1.2","-0.9","-","12.6","2.1","16.2","4.2","8.9","5.7","3.9","62"
"Theo Riddick","RB","FA","0.4","0","1.6","0.2","-","14.1","-","13.9","-","6.5","2.6","5.2","5.4","0","0.4","1","9.4","4.3","60.7"
"Cordarrelle Patterson","RB","ATL","18.8","5.6","5.4","3.8","0.8","1.7","7.2","9.6","0.9","-","2.7","1.8","0","-1.4","1.6","1.6","0","3.8","60.1"
"Las Vegas Raiders","DST","LV","7","0","3","5","-","0","3","1","8","0","6","3","-3","13","2","6","5","3.7","59"
"Tavon Austin","WR","FA","3.9","2.1","-","-","3.3","5.1","2.5","1.9","1.8","3","2.1","9.8","9.5","6","2.2","4","1.4","3.9","58.6"
"Robbie Gould","K","FA","9","4","10","5","7","7","2","1","-","2","3","3","5","-","-","-","-","4.8","58"
"Devonta Freeman","RB","FA","3.3","2.2","-0.1","2","8.2","3.1","3.7","7.2","-","1.4","2.8","0.7","3","0.8","3","14.4","1.6","3.6","57.3"
"Andre Roberts","WR","FA","2.2","7.6","3.8","8","8.9","3.5","1.8","1.1","1.8","-","2.1","0.7","4.6","1.1","8.1","-0.6","0.7","3.5","55.4"
"Luke Willson","TE","FA","0.1","0","0","-","2.8","1.1","-","8.3","1.6","0","5.1","2.1","3.9","0.1","0","25.9","3.2","3.6","54.2"
"Travis Benjamin","WR","FA","9","0.6","4.1","-","16.8","3.4","0","0","5.2","4.6","2.3","0","0","2.7","0.9","0","0.9","3.2","50.5"
"Josh Hill","TE","FA","0","-0.1","10.8","7.2","5.3","-","0.8","6.2","0","0","0","2.2","1.7","0","13.5","0","0","3","47.6"
"Jordan Reed","TE","FA","0.4","-","-","-","-","9.2","5.4","4","1.7","-","2.2","-","12.3","2.5","1.3","0.5","5","4","44.5"
"Damien Williams","RB","FA","0","1.9","-0.3","2.3","-","0","1.1","0","5.1","6.1","3.8","-0.1","0","1.1","0.9","12.8","2.2","2.3","36.9"
"Vernon Davis","TE","FA","16.4","3.9","-","0.8","-","3","2.1","-","1.9","0.8","1.1","2.1","1.3","2.6","0","0","0.9","2.6","36.9"
"Kyle Rudolph","TE","FA","7.6","5.3","2.7","-","-","-","-","-","-","-","0","5","6.7","0.9","6.9","-","0","3.9","35.1"
"Richard Rodgers","TE","FA","0","0","0","5.2","0","0","0.1","5.8","-","0.6","1.9","6.1","9.5","0","0","1.3","4","2.2","34.5"
"Levine Toilolo","TE","FA","7.9","1.3","0.5","1.2","0","3.4","2","2.6","-","0","2.3","1.7","7.5","-0.1","0.4","1.7","1.4","2.1","33.8"
"Paul Richardson Jr.","WR","FA","0","0","0.7","-","0","-","3.3","2","1.2","0","2.4","0","0.6","2.7","9","5.2","6","2.2","33.1"
"Marcedes Lewis","TE","FA","3.5","13.1","-","-","-","-","-","-","-","-","-","-0.5","0.8","6.9","2.2","6.6","0","4.1","32.6"
"Eric Ebron","TE","FA","0","3.8","0","9.4","0.8","2.3","-","-","-","-","2.2","2.3","2.3","2.8","1.1","0","3.8","2.4","30.8"
"Josh Gordon","WR","FA","-","-","-","-","-","-","-","-","-","-","-","12","7.5","1.5","4.8","4.5","-","6.1","30.3"
"Chad Henne","QB","FA","17.4","11.4","1.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","10.1","30.2"
"Bruce Miller","TE","FA","0","0","0","0","1","1.5","0.2","-","0.5","0.3","1.6","4","0","6.8","6","0.2","7.7","1.9","29.8"
"Albert Wilson","WR","FA","0","-","-","-","-","-","1.1","0","1.3","0","0","2.7","0","5.3","6.9","8.7","0","2.2","26"
"Danny Amendola","WR","FA","1.6","0","0","0","0.7","0","7.9","0.5","3.5","-","1.3","0","0","0.7","1.1","6.3","2.4","1.6","26"
"Benjamin Watson","TE","FA","0","0.4","1","0.7","4.3","-","0.3","0","0.4","1.3","0","0.4","7.5","6.8","0.5","0.2","1.8","1.6","25.6"
"Jack Doyle","TE","FA","0","7.2","1","0.7","0","0.9","2","0","0","-","0","0.8","0.8","0","0","2.3","8.1","1.5","23.8"
"Case Keenum","QB","HOU","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","-","7.3","15.6","11.5","22.9"
"Kyle Juszczyk","RB","SF","0","0","11.4","0.8","0","2.9","0.4","2.1","1.2","2.6","-","0.1","0","0.3","-1.6","0","0","1.3","20.2"
"Ted Ginn Jr.","WR","FA","2.9","0","1.6","-","-0.1","0","1.7","0","4.2","1.5","0","0","6.1","0.8","0.7","0","0.6","1.3","20"
"Adam Thielen","WR","CAR","0","0","0","0","5.7","0","0","0","0","-","0","0","0","0","0","1.2","12.8","1.2","19.7"
"Dontrelle Inman","WR","FA","-","0","-","0","-","0","-","0","0","-","-","-","-","-","-","7.9","7.9","2.3","15.8"
"Brandon Bolden","RB","LV","1.2","0","0.4","0","0.3","1","0.4","0","0","-","0","0","7.7","0","0","3.2","1.5","1","15.7"
"Ryan Griffin","TE","FA","0.6","0","0","0","0.8","0","0","0","0","-","0","0","6.8","2.5","1.1","2.5","0.8","0.9","15.1"
"Anthony Sherman","RB","FA","0.4","0","0.5","0","1.2","-","7.2","2.4","0","0","1.3","0","0","0.8","0.1","0","0","0.9","13.9"
"Virgil Green","TE","FA","0.8","0","1","-","0","0","0.3","0","-","-","-","0","1","0","0","0","10.6","1.1","13.7"
"Rex Burkhead","RB","FA","-","-","-","-","-","0","0","-","1","1.5","3.7","-","-","0","7.4","0","0","1.5","13.6"
"Patrick DiMarco","RB","FA","0","0","3.5","6.1","0","0","0","0","-","0","1.4","0","0","0.9","0","0.3","0","0.8","12.2"
"Jimmy Garoppolo","QB","LV","-","-","-","6.8","-0.4","-","-","0.8","-","-","-0.2","-","-","-","0","-","5.2","2","12.2"
"Logan Paulsen","TE","FA","0","0","0.7","0.8","1.1","0","0","0","0","-","0","0.1","7.6","0","0.9","0.6","0","0.7","11.8"
"Derek Carrier","TE","FA","0","4.1","2.3","1","1.6","0","1.1","-","0.6","0","0","0","-","-","-","-","-","1","10.7"
"Lee Smith","TE","FA","-","-","0","0","0","0","0","6.5","-","0","0","1.2","0","0.6","0.1","0","1.8","0.7","10.2"
"Chris Thompson","RB","FA","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.4","0.5","-","5","9.9"
"Adrian Peterson","RB","FA","9.3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","9.3","9.3"
"Dwayne Harris","WR","FA","6.5","0","0","1.7","1","-2","0","0","1.2","-0.2","-","0","0","0","0","0","0.1","0.5","8.3"
"Chase Daniel","QB","FA","-","-","-","-","-","-","-","0","-","-","-","-","-","-","-0.1","-","7.9","2.6","7.8"
"Logan Thomas","TE","WAS","-","-","-","-","7.2","-","-","-","-","BYE","-","-","-","-","-","0","-","3.6","7.2"
"Darren Fells","TE","FA","-","-","0","-","-","0","0","0","-","-","-","0","0","0","0.6","2.6","3.9","0.7","7.1"
"Ryan Grant","WR","FA","0","5.7","0","0","0","0","0","0","0","-","0","0","0","0.4","0","0","0.7","0.4","6.8"
"James White","RB","FA","-","-","-","3.6","-","-","-","1.7","-","-","-","-","-","-","-","-","0.8","2","6.1"
"Blaine Gabbert","QB","FA","-","-","-","-","-","-","6","-","-","-","-","-","-","-","-","-","-","6","6"
"Marquise Goodwin","WR","CLE","0","0.4","0","BYE","3.4","0","-","-","-","0","-","-","0","1.2","0","0","-","0.5","5"
"James Develin","RB","FA","0","1.7","0","0","1.6","0.2","0","0","1.3","-","0","0","0","0","0","0","0","0.3","4.8"
"Luke Stocker","TE","FA","0.8","0","1.5","0","0","0","-","0","0","-","-","0.6","-","0.4","0","0.8","0","0.3","4.1"
"Tyler Eifert","TE","FA","3.7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","3.7","3.7"
"Demetrius Harris","TE","FA","0","1","0","0","0","-","0","0.4","0.6","-","-","-","-","-","-","-","-","0.3","2"
"Cameron Brate","TE","FA","-","-","-","-","-","-","-","-","-","-","-","-","1.7","0","0","0","0","0.3","1.7"
"Joe Webb III","QB","FA","-","-","-","-","-","-","-","0","0","1.6","0","-","-","0","-","0","0","0.2","1.6"
"Vance McDonald","TE","FA","0","0.9","-","-","0","0.1","0","-","0","0","0","-","-","-","-","-","-","0.1","1"
"Trey Burton","TE","FA","0","0","0","0","0","1","-","0","0","0","0","0","0","-","0","0","0","0.1","1"
"Matt Moore","QB","FA","-","-","-","-0.2","-","-","-","-","0.8","-","-","-","-","-","-","-","-","0.3","0.6"
"Matt Barkley","QB","BUF","-","-","-","-","-","-","-","-","BYE","0","-","-","-","-","-","-","-","0","0"
"Taiwan Jones","RB","FA","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0","0"
"Keith Smith","RB","ATL","-","-","0","-","0","-","0","-","0","0","-","-","0","0","0","0","0","0","0"
"Kyle Nelson","TE","FA","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0"
"Beau Brinkley","TE","FA","0","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0"
"Matthew Slater","WR","NE","0","0","0","0","0","0","0","0","0","BYE","0","0","0","0","0","0","0","0","0"
"Jonathan Brown","K","FA","0","0","0","0","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0"
"Clark Harris","TE","FA","0","0","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
