"Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","AVG","TTL"
"Aaron Rodgers","QB","GB","9.6","28.6","10.5","28.9","18.2","26","24.3","24.8","BYE","36.6","28.8","19.8","24.9","27.9","6.1","14.7","24.4","22.1","354.1"
"Russell Wilson","QB","DEN","18.5","17.9","22","BYE","34.2","10.2","37.1","13.5","10.3","19.6","22.2","19.7","16.9","29.3","11.4","36.4","8.3","20.5","327.6"
"Ben Roethlisberger","QB","FA","17.4","6.7","15.9","22.4","12.7","11.8","16.9","44.8","35.7","13.7","10.5","-","26.2","27.9","14.2","12.4","17","19.1","306.2"
"Drew Brees","QB","FA","15.5","15.8","19.5","20.2","16.7","-","21","25","18.1","18.4","14.5","28.3","30.3","12","27.2","11.3","9.1","18.9","303"
"Le'Veon Bell","RB","FA","25.7","10.7","15.7","10.9","11.8","10.5","20.5","14.8","11.8","6.9","28.2","-","31.4","41.5","23.9","13.2","10","18","287.5"
"Matt Ryan","QB","FA","31.4","10","23.6","20.1","14.6","12.7","11.8","15.7","-","15.7","15.1","15.5","20.8","31.3","21.1","17.6","7","17.8","284.3"
"Ryan Tannehill","QB","TEN","12.9","12.7","13.1","20.6","-","18.7","23.9","14.6","28.2","10.3","16.8","26.6","8.7","13.7","15.9","29.3","12.4","17.4","278.5"
"Tom Brady","QB","FA","10.3","10","12.7","4.4","21","30.7","22.4","34.2","27.7","-","14.1","20","17.7","19.4","19.3","10.3","4.1","17.4","278.1"
"Philip Rivers","QB","FA","12.5","25.1","19.1","27.1","21.8","25.8","14.2","19.8","-2.2","-","11.6","13.5","27.2","10.4","9.6","24.2","5.8","16.6","265.6"
"Marshawn Lynch","RB","FA","24.4","12.3","24.8","-","17.7","6.2","7.1","6.4","26.3","40.3","12.5","8.2","11.1","15.3","15.8","23.3","13.6","16.6","265.3"
"Joe Flacco","QB","FA","16.5","14.9","11.3","25.4","7.4","32.2","14.7","5","18.3","10.6","-","13.9","23.3","24.4","13.6","10.3","20.6","16.4","262.4"
"Antonio Brown","WR","FA","17.6","10","21","25.8","8.4","11.6","13.1","25.8","20.4","3.4","15.1","-","23.7","11.7","12.3","13.2","18.8","15.7","251.9"
"Matthew Stafford","QB","LAR","30","14.4","4.6","26.5","12","11.5","16.1","19.9","-","17.1","5.3","10.4","21.6","24.2","10.3","5.9","21.6","15.7","251.6"
"Cam Newton","QB","FA","-","19.1","12.7","12.6","15.1","34.1","14.3","5.2","12.3","12.8","18.7","-","14.7","35.3","-","22.3","19.7","17.8","249"
"Dez Bryant","WR","FA","5.5","16.3","14.9","10.4","14.5","6.3","15.1","9","7.5","27.8","-","20.6","7.3","8.2","29.4","13.3","21.9","14.3","228"
"Andy Dalton","QB","CAR","18.3","14.7","12.9","-","17.8","19.4","5","20","14.4","-1.8","22","11.9","11.7","26.3","3","14.3","14.6","14","224.6"
"Alex Smith","QB","FA","9.7","14.4","19.1","22.7","8.9","-","15.7","11.3","16","15.6","4.2","17.9","12.7","16.3","21.6","13.8","-","14.7","220"
"Odell Beckham Jr.","WR","FA","-","-","-","-","10.4","2.8","16.7","-","15.6","11.9","9.3","26.4","9.4","19.9","30.3","26.8","24.5","17","204"
"Randall Cobb","WR","FA","11.8","18.5","2.9","23.3","9.4","11.9","18.3","18.6","-","11.2","12.9","5.8","9.3","5.7","11.1","13.1","18.6","12.7","202.4"
"Emmanuel Sanders","WR","FA","8.8","10.6","14.9","-","10.9","3.8","10.1","30.6","15.1","19.2","16.2","14.8","7.3","6.9","5.3","19","7.3","12.6","200.8"
"Julio Jones","WR","FA","9.6","14.8","28.1","8.2","10.5","6.9","5.6","5.8","-","11.9","5.9","12.8","24.9","31.9","-","10.7","5.8","12.9","193.4"
"Derek Carr","QB","NO","13.9","16.3","5","8.7","-","25.5","7.1","15.3","12.7","11.7","4.9","11.2","3","22.4","10.9","16.6","6.9","12","192"
"Lamar Miller","RB","FA","11.8","5.3","13.2","16.7","-","13.3","14.3","9.9","11.7","0.6","9.8","6.7","12.7","8.9","5.7","21","23.8","11.6","185.4"
"Rob Gronkowski","TE","FA","10","3.2","10.4","9.1","16","9.4","6.8","32.9","16.5","-","13.1","7.8","9.8","14.7","15.6","9.1","-","12.3","184.4"
"Ryan Fitzpatrick","QB","FA","13.2","13.6","19","12.1","4.5","11","18.1","14.3","19","-","-","-","39.3","12.9","2.8","-","-","15","179.7"
"Teddy Bridgewater","QB","FA","-","-","8.7","23.4","-","2.6","7","13.9","16.7","-","8.5","19.6","14.7","19.1","15.6","17.7","12.2","13.8","179.7"
"Mike Evans","WR","TB","3.7","4.9","5.2","12.5","-","11.5","BYE","7.8","24.4","18.5","32.9","10.7","4.9","16.5","7.3","4.9","11.4","11.8","177.1"
"Alshon Jeffery","WR","FA","7.1","4.7","11.8","11.1","15.7","13.6","0.9","11.9","-","7.1","19.5","8.2","19.1","15.5","13.8","13.2","3.4","11","176.6"
"T.Y. Hilton","WR","FA","4.1","6.5","8","11","9","28.3","10.7","21.5","13.1","-","2.4","19.7","12.2","25","5","-","0","11.8","176.5"
"LeSean McCoy","RB","FA","11.5","16.2","2.2","1.7","6.6","15.4","-","9.7","12.3","7.7","10.6","19.1","19.9","3","6.5","17.6","11.4","10.7","171.4"
"Houston Texans","DST","HOU","22","9","2","13","8","12","4","7","17","BYE","11","8","12","10","13","12","11","10.7","171"
"Alfred Morris","RB","FA","9.1","20.5","7.7","15","2.7","5.5","5.4","14.5","22.9","-","13.2","19","8.3","1.7","4.9","14.3","6.2","10.7","170.9"
"Stephen Gostkowski","K","FA","10","14","10","2","21","17","9","15","15","-","6","11","3","11","11","5","10","10.6","170"
"Blake Bortles","QB","FA","-","-","15.9","12.6","5","19.2","8.1","11.6","16.9","11.9","-","6.2","18.6","11.2","6.6","13.6","10.8","12","168.2"
"Mark Ingram II","RB","FA","18.1","16.4","-","-","-","-","2.9","23.5","23","13.9","9.7","4.2","12.1","3.6","11.9","11.5","12.1","12.5","162.9"
"Cody Parkey","K","FA","12","12","15","3","10","10","-","10","8","9","8","21","15","2","11","6","10","10.1","162"
"Golden Tate","WR","FA","9.7","5.7","5.1","11.6","19.4","4.4","21.4","21.1","-","10.9","4.9","11","8.9","5","10.3","6.2","4.5","10","160.1"
"Philadelphia Eagles","DST","PHI","13","4","1","19","22","20","BYE","2","7","25","-1","11","14","6","1","6","9","9.9","159"
"Buffalo Bills","DST","BUF","9","13","2","10","14","-2","10","16","BYE","9","9","23","18","6","12","1","8","9.9","158"
"Brian Hoyer","QB","LV","12.7","12.2","15.4","-","21.8","12.7","4.5","15.1","16.5","8","15.3","8.1","3.7","1.7","-","9.3","-","11.2","156.9"
"DeAndre Hopkins","WR","ARI","14.9","8.2","11.6","12.4","6.3","1.2","8.8","9.5","17.5","-","8","3.9","35.8","4.9","7.7","3.8","0.5","9.7","155"
"DeSean Jackson","WR","FA","5.3","1.9","17.7","0.9","21.7","18","4.9","13.6","18","-","3.7","3.9","14.4","-","2.4","12.6","14.6","10.2","153.6"
"Adam Vinatieri","K","FA","6","10","16","11","8","9","11","10","19","-","10","12","7","9","5","1","9","9.6","153"
"Geno Smith","QB","SEA","12.6","17.6","14.6","8.8","-0.6","14.7","16.7","-5.8","-","-","-","4","2.5","15.5","12.8","11.3","26.1","10.8","150.8"
"Dan Bailey","K","FA","5","19","11","10","9","15","8","5","7","9","-","7","4","11","9","6","14","9.3","149"
"Frank Gore","RB","FA","6.6","13.5","1","23.4","10.8","3.8","2","-","5.8","14.3","9.4","1.6","3.6","6.3","8.9","21.8","14.9","9.2","147.7"
"Stephen Hauschka","K","FA","10","3","8","-","11","12","8","9","13","8","8","16","14","7","5","5","10","9.2","147"
"Mason Crosby","K","FA","4","13","1","10","6","10","8","12","-","15","11","7","14","15","8","9","4","9.2","147"
"Randy Bullock","K","FA","6","13","5","16","5","4","11","13","3","-","14","7","9","11","6","19","3","9.1","145"
"Jimmy Graham","TE","FA","8.2","23.8","5.4","12.6","3.6","-","0","11.9","14.3","19.6","2.9","16.7","0","2.5","8.7","9.3","5.4","9.1","144.9"
"Giovani Bernard","RB","FA","11","22.9","17.4","-","7.2","21.7","1.6","10.7","-","-","-","6.7","5.3","3.6","10.3","14.1","12.4","11.1","144.9"
